# Logfile created on Tue Jul 27 18:36:07 +0000 2010 by logger.rb/22285
I, [2010-07-27T18:36:07.857217 #9014]  INFO -- : GET: https://my.rightscale.com/api/acct/2901/deployments.js?filter[]=nickname=MY51-ec2-east-418214-RightImage_Ubuntu_9.10_i386_v4.5&
I, [2010-07-27T18:37:44.049963 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:45.924128 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:45.955462 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:49.204157 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:49.238251 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:51.104145 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:51.138198 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:54.407092 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:54.552475 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:37:56.347517 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:56.453378 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:37:59.664116 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:37:59.696514 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:38:01.554131 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:38:01.613992 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:38:04.784126 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:38:04.814535 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:38:06.764152 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:38:06.798255 #9012]  INFO -- : GET: /api/acct/2901/servers/796343.js?
I, [2010-07-27T18:38:10.014146 #9014]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
I, [2010-07-27T18:38:10.045514 #9014]  INFO -- : GET: /api/acct/2901/servers/796347.js?
I, [2010-07-27T18:38:11.994142 #9012]  INFO -- : waiting for server tempserver-MySQL 5.1 EBS v2 (Sprint 19) to go operational, state is bidding
